city_state,white_2015,white_2000,black_2015,hispanic_2015,female_2015,asian_2015
glasgow ky,84.7,88.28,8,4.3,54,0.6
glendale ca,61.7,54.16,1.1,17.7,52.2,16.6
glens falls ny,90.8,95.69,1.4,4.2,51.7,1.6
glenwood springs co,71.1,83.75,0.3,25.4,48.5,1.2
gloucester ma,94.5,96.18,0.9,2.1,53.3,0.8
gloversville ny,90,94.45,2.4,4.4,50.6,0.6
goldsboro nc,35.9,41.87,53.6,5.7,51.7,1.6
goshen in,61.4,76.66,4.4,29.1,51.2,1.2
grand forks nd,85.7,92.32,2.5,3.4,49.1,2.7
grand haven mi,97.6,95.4,0.1,1.3,54.6,0.6
grand island ne,65.8,81.42,2.4,29,50.5,1.2
grand junction co,79.6,85.86,0.9,15.3,51.2,0.8
grand rapids mi,59,62.46,19.6,15.6,51.1,1.9
grants pass or,85.1,90.15,0.3,9.5,53.2,0.7
grass valley ca,82.7,88.15,0.2,12.8,57.5,1.3
great bend ks,74.5,83.66,1.8,21.3,53.7,0.3
great falls mt,85.1,88.71,1,4.1,50.9,1.1
greeley co,57.3,66.82,2.1,37,50.7,1.1
green bay wi,72.1,83.21,3.5,14,50.6,4.2
greencastle in,90.7,93.24,2.5,1.6,53,3
greenfield in,93.6,97.36,0.8,2.9,51.1,1
greensboro nc,44.4,53.65,41.3,7.4,53.2,4
greensburg in,93.5,97.12,0.8,2.8,52.6,2.5
greenville mi,94.6,94.57,0.2,3.4,51.9,0
greenville ms,19.5,28.73,78.4,0.6,54.3,0.9
greenville nc,52.8,60.62,37.4,4.1,54.7,2.8
greenville oh,94.7,96.68,1.4,1.2,55.2,0.6
greenville pa,96.1,96.08,2.2,0.5,49,0.3
greenville sc,62.4,60.56,28.7,5.1,50.1,1.8
greenville tx,58.6,64.26,15.2,22.2,51.9,1.3
greenwich ct,70.4,NULL,5.4,13.1,52.4,9.4
greenwood ms,29.1,32.61,67.2,1,50.1,1.4
greenwood sc,43,46.79,42.4,10.3,55.1,1.4
grenada ms,42.1,49.05,56.5,0.2,53.9,0.8
griffin ga,40.9,46.18,51.2,4.8,52.7,1.7
grove ok,83.4,81.72,0,1.6,53.3,1.5
guthrie ok,69,74.49,18.5,3.9,50.5,0.4
guymon ok,37.8,57.97,2.2,55.8,47.1,2.1
hackensack nj,30.5,39.86,20.8,35.8,49.7,11.1
hagerstown md,68.7,85.16,17,6,52.3,2.5
hamilton oh,82.4,87.97,9.1,5.1,54,0.6
hammond la,46.6,51.61,48.5,2.5,55,0.8
hanford ca,40.2,49.88,4.5,48.4,50.9,3.9
hannibal mo,86.9,89.98,7.8,2.4,51.3,1.2
hanover pa,86.5,95.71,1.5,9,53.2,1.5
harlingen tx,17.8,25.03,1.4,79.2,50.5,1.2
harrisburg il,87.9,89.94,5.4,3.1,52.8,1.2
harrisburg pa,25.2,28.58,47.2,19.1,52.6,4.8
harrison ar,91,96.4,0.8,3.6,54.8,0.8
harrisonburg va,69,80.1,6.5,17.7,52.4,4.1
hartford city in,95.9,98.01,0,1,52.2,0.1
hartford ct,15.4,17.83,35.2,44.2,51.4,2.6
hastings ne,85.6,90.55,0.7,10.5,49.8,1.4
hattiesburg ms,40.6,49.26,52.8,3.2,52.8,1.7
haverhill ma,75.9,86.34,1.8,18.6,51.5,1.5
havre mt,85.5,86.55,0,2.9,49.5,0.8
hays ks,89.9,94.36,1.5,5.1,50.5,1.7
hayward ca,17.4,29.21,11,40.4,51,25
hazleton pa,45.2,93.19,2.8,50.3,50,0.4
helena ar,22.8,30.38,75.8,0.6,53,0.2
helena mt,91,93.84,0.6,3.1,51.4,0.6
hemet ca,46,70.3,7.4,39.5,53.1,3.1
henderson ky,81.7,86.67,11,2.5,52.8,0.5
henderson nc,25.9,34.56,61.8,9.6,53.2,1.2
henderson nv,68,78.21,5.4,15.3,51.5,7.3
henderson tx,52.8,64.71,24,20.8,48.8,1.9
hendersonville nc,70.3,76.36,11.3,14.1,55.1,0.9
henryetta ok,68.9,78.9,0.6,3.3,54.1,1.6
hereford tx,21.9,36.16,0.9,75.3,50.8,0.4
herkimer ny,92,95.37,2.3,2.2,50.7,1.3
hernando ms,83.5,74.19,11.6,2.4,49.7,0.6
hibbing mn,94.2,96.9,0.7,1.6,52.8,1.1
hickory nc,68.1,73.2,13.7,12.6,53.7,3.7
high point nc,47.8,58.45,32.2,9.2,53.1,8.3
hillsboro oh,87.9,90.15,4.8,1.3,54,0.9
hillsdale mi,92.6,95.58,1.3,2.6,51.1,0.6
hilo hi,15.6,15.93,0.7,11,50.9,32.2
hilton head island sc,76.5,79,7.7,14,50.8,1
hobbs nm,35.8,48.95,5,55.8,48.8,0.3
holdenville ok,58.9,74.11,13,5.9,39.9,0
holland mi,65.3,70.03,3.8,24.5,51.6,4.1
hollister ca,25.9,38.49,0.9,68.4,49.9,2.5
hope ar,31.7,41.76,43.8,23.5,54,0
hopewell va,51.1,61.09,38.1,6.8,52.7,1.5
hopkinsville ky,61.4,65.26,28.2,5.6,51.3,1.3
hornell ny,93,94.89,1.2,1.8,50,0.6
hot springs ar,69,76.5,19,8.3,52.7,1.1
houghton mi,82,88.74,2.1,1.8,40.4,10.3
houma la,62.1,66.59,23.8,5.5,50.1,1.3
houston tx,25.5,30.81,22.7,43.9,50,6.4
howell mi,91.4,94.69,1.2,3,54.4,2.4
hudson ny,55.9,61.75,20.2,8.3,49.9,7.3
hugo ok,54.4,58.76,25.9,3.5,52.3,0.3
huntingdon pa,94.4,95.94,2.1,1.5,51.7,0.6
huntington in,93.1,97.13,1.2,3.2,53.7,1.5
huntington wv,85.5,89.11,7.9,1.6,51.9,1.2
huntsville al,58.8,63.42,30.3,5.7,51.3,2.3
huntsville tx,50.7,55.26,26.8,19.7,40.1,1.9
huron sd,75.5,95.28,0.2,11.7,50.1,10.5
hutchinson ks,80.4,85.36,4.1,11.9,49.2,0.7
idaho falls id,82.9,89.36,0.5,12.8,50.9,1
independence ks,72.6,84.95,7,12.7,49,1.9
independence mo,78.9,90.07,7.2,9.7,53,1
indiana pa,88.3,90.81,5.7,2.1,49.5,1.3
indianapolis in,57.2,67.49,27.6,9.7,51.8,2.5
international falls mn,93.7,94.81,1.8,0.1,50.6,0.8
iola ks,88.4,92.86,3.4,3.1,53.1,0.6
ionia mi,72.3,69.33,13.8,7.5,34.1,0.2
iowa city ia,77.2,85.83,6.3,5.3,49.8,7.9
iron mountain mi,95.4,97.01,0.4,0.9,51.6,0.8
ironton oh,89.9,93.08,6.7,1.2,53.2,0.1
ironwood mi,96.8,96.82,0.3,1.4,51.1,0.3
ithaca ny,64.9,71.34,6.3,7.1,49.6,17
jackson mi,66.9,72.16,23.1,5.6,53.8,0.8
jackson ms,17.4,27.5,79.9,1.5,53.7,0.4
jackson tn,46.8,54.18,45.8,4.6,53.7,1.7
jacksonville ar,53.5,67.2,34.1,7.4,51.4,1.7
jacksonville fl,53.7,62.19,30.2,8.5,51.6,4.4
jacksonville il,82.4,89.59,10.7,3.7,48.2,0.7
jacksonville nc,57.2,60.83,20.4,14.9,41.5,2.3
jacksonville tx,37.9,53.53,22.2,38.3,51.3,0.5
jamestown nd,92,96.11,0.7,2.5,50.1,0.6
jamestown ny,82.3,88.99,4.2,9.2,51.9,0.7
janesville wi,87.9,93.85,1.7,5.5,51.6,1.7
jasper al,76.1,83.54,15.2,6.1,53.1,0.5
jasper in,92.3,95.5,0.5,6.1,51.1,0.6
jefferson city mo,73.8,80.73,18,2.4,47.9,1.6
jeffersonville in,76.4,81.5,14,4.3,50.8,1.7
jennings la,71.1,69.87,26.1,1.1,51.1,0.1
jersey city nj,21.5,23.63,23.1,27.7,50.6,25
johnson city tn,84.3,88.98,7,3.5,52.4,2.4
johnstown pa,77.3,85.41,12.8,2.6,52.5,0.4
joliet il,50.9,61.02,16.1,29,51.3,1.9
jonesboro ar,71.5,84.24,18.9,5.6,51.8,1.6
joplin mo,85.3,90.23,3.7,3.5,50.9,1.6
junction city ks,55.1,55.82,19.6,13.7,48.8,3.6
juneau ak,66,73.26,1.2,6.1,48.8,6.2
kalamazoo mi,64.7,69.47,21.3,6.3,49.9,2.6
kalispell mt,93.3,94.94,0.4,2.4,52.4,1.2
kankakee il,40.3,47.76,38.2,18.7,49.8,0.7
kansas city ks,39.5,48.94,25.1,28.7,50.6,3.7
kansas city mo,55.3,57.63,28.7,10,51.6,2.6
kearney ne,87.1,93.05,1.4,8.2,50.5,1.7
keene nh,92.5,97.13,1,2.2,54.6,1.6
kenai ak,76.7,80.7,0.4,2.5,50.5,0.8
kendallville in,92.1,95.22,0,4.9,52.4,1.7
kennett mo,80.8,83.2,12.5,3.9,51.2,0.1
kennewick wa,66.8,78.11,2.3,24.5,50.3,2.2
kenosha wi,68.3,79.34,10.7,17.3,51,1.4
kent wa,47.1,67.86,10.3,16.6,50,17.6
kenton oh,94.6,96.62,0.7,3.3,53.4,0
keokuk ia,88,92.26,4.3,3.3,50.4,0.7
kerrville tx,65,72.72,3.2,29,52.2,1
ketchikan ak,56,65.6,0.7,6.1,48.9,11.8
kewanee il,78.3,88.42,5,13.4,50.5,1.2
key west fl,65.3,71.41,10.3,20.8,48.8,0.9
keyser wv,83.9,90.02,9.2,0.5,51.8,0.2
kilgore tx,65.3,74.83,12.5,17.9,52.6,2.8
killeen tx,32.7,39.78,31.9,24.6,50.6,3.4
kingman az,78.2,85.3,1.2,12.8,52.1,1.4
kingsport tn,90,92.67,3.4,2.8,53.4,1
kingston ny,61.2,77.06,15.2,15.9,53.3,2.7
kinston nc,27.7,35,66.5,2.7,54.1,1
kirksville mo,88.8,93.52,3,3.2,53.7,3.2
klamath falls or,75.8,81.2,1.4,13.4,50.9,1.2
knoxville tn,73.1,78.98,17.2,4.9,51.8,1.8
kodiak ak,34.6,43.72,0,13,48.1,38.5
kokomo in,82.7,83.83,9.7,3.6,52.1,1.5
la grande or,89,91.77,0.9,3.9,52.4,1.4
la junta co,44.8,52.6,0.1,48.5,51.9,1.2
laconia nh,95.3,96.14,0.6,1.3,52.5,1.1
lady lake fl,84.9,93.98,4.5,7.9,52.1,1.1
lafayette in,75.6,84.93,8,12.6,52,1.8
lafayette la,60.5,67.13,30.7,5,51.1,1.9
lake charles la,43.8,49.53,47.7,3.5,52.2,2.3
lake city fl,50.8,57.28,39.2,6.2,50,1.2
lake geneva wi,79,82.65,0.1,17.5,52.7,2.9
lake havasu city az,81.4,89.54,0.4,14.9,51.7,1.3
lakeland fl,61.6,69.54,20.1,14.4,52.9,1.6
lamar co,59.3,61.13,0.7,39.1,50.8,0
lancaster oh,93.9,96.84,1.4,2.1,52.1,0.8
lancaster pa,41.3,51.81,14.5,38.5,50,3.2
lander wy,83.7,88.87,0.2,5.8,50.9,1
lanett al,31.9,44.97,65.9,1,54.3,0.1
lansdale pa,70.1,83.59,9.9,6.4,50.7,9.8
lansing mi,55.6,61.37,20.9,12.3,52.1,4.1
laporte in,84,NULL,1.9,11.7,52.4,0.1
laramie wy,82.4,86.77,1.4,9.5,47.6,3.3
laredo tx,3.7,5.04,0.3,95.2,51.5,0.6
las cruces nm,36,42.02,2.2,57.2,50.9,1.7
las vegas nm,17.9,13.47,2.2,76.4,52.6,1.3
las vegas nv,45.9,58.04,10.9,32.2,49.9,6.5
lasalle il,86,89,0.4,12.2,45.4,0.5
latrobe pa,96.8,98.49,1.2,0.4,49.7,0
laurel ms,30.1,40.3,61,6.8,52.5,1
laurinburg nc,41,50.1,46.1,3.2,54.3,1.4
lawrence ks,77.4,82.12,4.3,6.7,50,5.3
lawrence ma,17,34.1,2.9,76.4,52.3,2.9
lawton ok,52.4,57.79,19.8,14,47.7,2.4
le mars ia,91.6,95.81,1.1,4.4,51.9,0.3
leavenworth ks,69.5,74.05,14.3,8.9,47,2.3
lebanon in,93.5,96.77,1.6,3.7,50.3,0.2
lebanon mo,92.5,94.9,0.9,2.1,52.1,1.1
lebanon pa,54,78.89,3,40.1,51.1,0.8
lebanon tn,77.5,81.8,12.8,6.7,51.6,1.5
leesburg fl,56.9,64.33,26.6,10.2,53.7,1.2
leesville la,50.5,53.61,34.6,8.1,48.3,2.7
lehighton pa,93.8,97.83,3,0.9,56.1,0
lenoir nc,75.7,79.23,11.9,9,54.4,1.2
levittown pa,88.3,93.14,3.5,6,51,1
lewisburg pa,85.4,90.36,3.5,5.5,53.4,4.1
lewiston id,92.3,94.06,0.4,2.9,51.1,1
lewiston me,87.1,94.97,3,2.8,52.1,1.2
lewistown pa,91.3,NULL,2.3,3.1,50,1.4
lexington ky,72.4,79.14,14.3,6.9,50.9,3.5
lexington ma,70.5,85.07,1,1.7,51.7,24.3
lexington nc,50.9,54.81,25.7,16.6,51.1,3.6
liberal ks,32.2,47.56,3.9,59.1,49.3,3.2
lihue hi,24.8,21.47,0.7,7.5,47.9,43.5
lima oh,64.3,68.38,27.3,3.1,47.2,0.6
lincoln il,82.7,94.12,4.1,2.6,53.4,1.2
lincoln ne,81.7,87.81,4.1,6.9,50,4.3
linton in,97.2,97.51,0,0.6,52.8,0.3
litchfield il,97.3,97.71,0.8,1.1,54.4,0.4
livingston mt,93.7,95.08,1.2,2.8,50.3,0
lock haven pa,91.7,95.57,3.7,1.7,55.7,1.4
lockport ny,85.2,89.85,6.8,4.6,52.1,0.9
lodi ca,52.2,63.51,1.1,35.8,50.9,8.4
logan oh,96.1,97.51,0.8,1.5,53.3,0.5
logan ut,76.2,85.44,1,15.5,50.9,3.7
logansport in,67.9,83.53,2.6,26.3,50.4,2.2
lompoc ca,33.3,47.92,5,54.4,47.7,2.8
london oh,86.6,89.62,4.5,2.6,49.4,1.6
long beach ca,28.1,33.13,12.5,42,50.6,12.7
longmont co,67.2,76.8,1.2,26,50.1,2.8
longview tx,55.3,65.48,21.5,19.8,51,1.3
longview wa,81.9,87.22,0.3,9.6,51.8,2
lorain oh,54.5,61.08,13.9,27.8,53.3,0.8
los alamos nm,72.6,80.77,0.4,15.6,48.9,9.3
los angeles ca,28.4,29.75,8.8,48.7,50.4,11.4
louisville ky,67.6,61.92,22.3,4.7,51.7,2.4
loveland co,84.9,88.63,0.4,10.9,51.2,1.5
lovington nm,24.6,43.29,0.9,73.4,48.9,0
lowell ma,49.5,62.53,6.8,18.1,50.6,21.3
lubbock tx,53.7,61.3,7.3,34.3,51,2.3
ludington mi,90.4,92.51,1.3,5.5,55,0.7
lufkin tx,43.8,53.71,27.1,26.1,51.8,1.5
lumberton nc,38.5,46.85,33.3,12.2,51,1.3
lynchburg va,62.9,66.05,28.3,3.3,53,2.8
lynn ma,41.2,62.47,11.6,35.5,51.9,7.8
macomb il,83.5,87.51,7.2,3.8,51.8,2.8
macon mo,89.5,92.13,6.4,1.5,56.2,1
madera ca,14.5,25.13,2.7,78.4,50.8,2.6
madison in,90.2,93.95,3.1,3.1,57.9,2.1
madison sd,91.5,96.73,1,2.8,52.8,1.9
madison wi,74.6,81.95,6.7,7,50.7,8.4
madisonville ky,80,85.53,11.4,3.2,52.8,0.7
magnolia ar,52,57.7,41.5,1.8,54.4,1.4
malden ma,47,69.63,14,10.3,51.6,24.4
malone ny,93.2,97.05,1.3,2.6,52.2,0
malvern ar,62.2,67.64,32.7,3.6,45.6,0
manassas va,44.6,66.33,13.5,32.9,50.1,5.2
manchester nh,80,89.32,4.6,8.7,50,4.6
manhattan ks,78.3,85.38,5.5,7,48.3,5.6
manistee mi,90,93.88,0.4,3.7,53.3,0.7
manitowoc wi,86.9,91.78,0.3,5.1,52,5.6
mankato mn,86.5,91.5,4.1,3.4,49.5,2.8
mansfield oh,72,76.09,17.9,2.4,46.6,0.4
manteca ca,43.4,64.06,3.7,40.3,51.4,7.6
marianna fl,52.7,55.68,42,1.3,51.3,1.2
marietta ga,46.2,48.59,32.5,16.7,51.8,2.5
marietta oh,93.6,95.75,2,0.9,52.7,1.3
marinette wi,92.8,96.81,1.1,2.8,52.4,0.6
marion il,86.2,92.05,6.9,2.8,52.6,1.8
marion in,75.5,77.84,13.9,6.3,56,1
marion nc,73.9,80.36,8.4,12.8,45.4,0.7
marion oh,84.1,89.64,9.7,2.9,43,0.5
marquette mi,88.8,94.5,4.2,1.6,46.7,0.9
marshall mi,87.9,94.19,1.3,6.3,51,1.7
marshall mn,80.9,88.65,5,8.6,51.9,4.2
marshall mo,74.7,82.92,6.5,13.7,50.8,0.4
marshall tx,40.9,51.41,38.4,19.4,52.5,0.7
marshalltown ia,64.2,83.64,2.3,27.3,50.4,4.2
marshfield wi,92,96.59,0.3,4,51,2.6
martins ferry oh,88.4,92.72,3.9,1.1,55,0
martinsburg wv,73.5,82.43,13.7,5.9,53.3,0.6
martinsville in,95.6,97.97,1.4,1.4,51.6,0.2
martinsville va,47.4,54.07,45.9,4.5,54.8,0.1
marysville ca,60.2,65.77,5.3,24.8,47.7,5.7
marysville oh,89,90.7,3.5,1.6,56.6,2.4
maryville mo,91,95.18,3.6,1.6,52.8,2.5
maryville tn,90.7,92.83,2.5,2.9,52.7,1.9
mason city ia,90.7,93.37,1.3,4.9,51,1.4
massillon oh,87.2,87.54,7.3,2.6,50.3,0.3
mattoon il,94.5,95.83,1.8,1.4,52.1,0.1
mayfield ky,67.8,78.43,16,13.8,52.8,0.3
maysville ky,83.4,85.62,11.1,0.6,51.5,0.5
mcalester ok,66,73.6,6.2,6.8,47.7,0.7
mcallen tx,11.7,16.84,0.6,84.5,51.4,2.7
mccomb ms,27,39.91,70.1,1.5,53.6,0.6
mccook ne,91.5,96.11,0.6,6.4,51.4,0.6
mckeesport pa,59.6,71.71,30.3,3.7,53.1,0.5
mckinney tx,62.6,71.46,11.1,19.2,50.9,4.8
mclean va,72.6,81.35,1.9,6,51.9,15.8
mcpherson ks,90.5,93.68,1.6,4,51,1
meadville pa,88.2,91.31,5.1,2.5,54.3,1.5
medford or,79.2,85.98,0.8,14,50.7,1.4
medina ny,83.8,86.1,5.2,7.1,54.2,1.1
medina oh,90.6,93.91,4.5,2.2,52.7,1
melbourne fl,74.4,80.69,10.1,9.4,51.7,2.9
melville ny,82.1,87.46,4.3,5.1,54.5,7.5
memphis tn,27.3,33.25,62.6,6.7,52.4,1.8
menominee mi,95,96.67,0.1,2.1,50.7,0
merced ca,30.1,37.75,4.9,50.4,51.2,11.8
meriden ct,61.4,69.89,10,25.3,51.4,1.5
meridian ms,33.8,43.49,61.7,1.8,53.5,1.3
merrifield va,42.3,47.81,5.2,12.7,49.7,32.6
mesa az,64,73.21,3.4,26.6,50.7,1.9
mexia tx,37.5,49.75,34.5,26.3,47.7,0.3
mexico mo,85.4,88.27,8.3,3.2,55.9,0.1
miami fl,11.4,11.83,16.4,70.7,50.5,0.8
miami ok,66.3,74.28,1.5,5.4,51.9,0.5
michigan city in,61.2,67.81,27.7,6.1,50,1
middletown ct,70,77.46,12.3,9.6,51.6,4.7
middletown ny,34.9,56.81,21.5,38.4,51.6,3.1
middletown oh,78,86.54,10.9,5.5,52.4,1
midland mi,88.2,92.16,2.2,2.9,51.8,4.2
midland tx,47.9,60.64,7,41.7,50.6,1.7
miles city mt,92.8,95.73,0.5,2.6,51.6,0.5
milford ct,85.4,91.22,2.1,6.5,51.7,4.5
milford ma,80,89.99,2.9,11.1,51.4,2.4
milledgeville ga,48.6,49.14,44.6,2.9,49.4,2.4
milton pa,91.4,93.92,1.3,5,50,0.4
milwaukee wi,36.3,45.39,38.9,18,51.9,3.6
minden la,42.2,46.17,54.8,0.8,52.2,0.7
mineral wells tx,64.3,69.84,5.8,27.7,46.4,0.7
minneapolis mn,60.3,62.49,18,10,49.6,6
minot nd,86.2,92.43,3,4,49.3,1.3
missoula mt,88.9,92.62,0.7,3.5,50.2,1.5
mitchell sd,91.2,95.34,0.6,2.6,49,0.2
moberly mo,84.5,89.54,8.1,2.1,47.4,0.7
mobile al,43.8,49.75,50.3,2.9,52.6,1.5
modesto ca,47.6,59.55,3.4,37.5,51.4,7.2
moline il,74.4,82.32,4.8,16.6,50.8,2.5
monessen pa,82.1,83.09,13,1.5,53.7,0.4
monett mo,74.6,86.38,0,23.5,49.8,0.5
monmouth il,76.1,90.84,4.5,15,52.9,3
monroe ga,52.3,53.85,42.6,2.2,52.1,1.3
monroe la,31.8,36.38,64.4,1.5,55.4,1
monroe mi,85.9,89.45,6.3,3.6,53.3,0.6
monroe nc,44.6,49.56,24,27.4,51.3,1.4
monroe wi,92,96.99,0.6,4.7,53.9,0.7
montclair nj,83.1,57.13,4.6,5.3,52.6,4
monterey ca,67,74.97,3.4,17.4,48.2,7.8
montgomery al,34,47.07,58.5,3.6,52.9,2.3
monticello in,85.5,86.93,0.3,12.7,53.6,0
montrose co,74.6,80.01,0.4,22.2,49.8,0.2
morgan city la,63.6,69.39,21.6,8.6,53.2,0.2
morganton nc,67.2,72.62,9.4,18.5,52.7,0.6
morgantown wv,85.1,88.55,5.9,2.5,43.8,4.2
morris il,85.7,91.41,1.6,12.3,49.4,0.2
morristown tn,69.4,79.94,6.6,20.7,52.7,0.3
moscow id,87.7,91.01,0.9,4.8,48.2,3.3
moses lake wa,63,68.98,1.4,30.9,51.5,2.3
moultrie ga,37.3,43.7,47.1,14.7,49.6,0
moundsville wv,95.5,97.09,1.3,1.5,53.2,0.9
mount airy nc,79.7,82.28,9.3,9.5,53.3,0.4
mount carmel il,94.3,97.17,1.5,1.9,51.1,1.4
mount pleasant ia,81.9,89.56,4.1,6.5,45.5,4.4
mount pleasant mi,83.8,87.96,4,3.1,53.9,3.1
mount pleasant tx,29.2,41.64,14.4,54.2,50.8,0.8
mount vernon il,78.4,83.53,13.5,2.3,52.3,2.2
mount vernon oh,94.9,96.13,1.1,1.5,53.5,0.1
mount vernon wa,57.7,68.43,1.3,34.3,50.1,3.1
mountain home ar,94.6,96.91,0.5,3.5,55.8,0.2
mt. clemens mi,66.1,NULL,26.6,2.3,49.3,1.9
muncie in,82.1,85,9.1,2.7,53.1,1.5
munster in,77.1,88.78,2.9,13.6,51,4.9
murfreesboro tn,71.3,78.42,16.3,5.5,51.3,3.5
murray ky,82.9,87.42,7,3.4,53.7,4
muscatine ia,76,85.01,2.5,18.4,51.6,1.2
muskegon mi,54.3,57.93,32.4,7,47.6,0.2
muskogee ok,53.8,59.99,16,7.4,52.7,1.1
myrtle beach sc,69.9,79.16,13.9,11.5,51.5,1.3
nacogdoches tx,48.7,61.92,29.5,17.6,53.6,2.4
nampa id,72.1,78.19,0.6,23.2,51,1
napa ca,54.7,68.25,0.8,39.3,50.6,2.6
naperville il,67.9,82.88,4.6,6.1,51.2,18.3
naples fl,88.8,90.81,4.8,5.2,53.1,0.4
napoleon oh,89.1,91.47,0.7,7.5,52.5,0.9
nashua nh,75.5,86.49,2.4,11.5,50.8,7.6
natchez ms,37.5,43.91,59.7,1.7,53.5,0.2
natchitoches la,37.3,43.24,58.8,1.7,55.2,0.4
naugatuck ct,77.1,88.87,6.5,11.6,49.9,1.9
nebraska city ne,82.4,93.94,0.2,13.8,48.7,1.1
neosho mo,81.1,89.82,2.5,10.5,50.4,1
nevada mo,90.3,95.12,1.9,4,55.3,1.3
new albany in,83.8,89.41,8.1,4.2,52.7,0.7
new bedford ma,65.9,75.21,6.8,18.3,52.9,1.2
new bern nc,54,54.85,31.9,5.4,52.6,6.1
new braunfels tx,59.4,62.46,2.3,36.2,51.3,0.9
new britain ct,44.6,58.83,9.8,40.1,52.5,2.9
new castle in,92.6,95.73,1.8,2.5,52.5,0.6
new castle pa,80.9,86.39,11.8,2.3,52.6,0.4
new haven ct,31.3,35.57,32.5,28.1,52.7,5.1
new iberia la,49.5,56.3,41.3,4.8,52.4,2.1
new london ct,47.4,56.07,15.5,29.5,53.6,3.1
new orleans la,30.8,26.59,59,5.5,52.2,3
new philadelphia oh,88.6,96.06,1.9,5.6,51,0.6
new smyrna beach fl,88.3,90.49,5.9,3.1,51.4,1.7
new ulm mn,96.3,97.49,0.3,2,51.6,0.5
new york ny,32.5,34.98,22.4,28.9,52.4,13.4
newark nj,10.7,14.24,48.3,35.6,50.2,1.8
newark oh,91,93.59,3.3,1,53.4,0.6
newburyport ma,93.7,97.46,0.8,2.5,52.8,1.5
newnan ga,52.7,51.39,30.6,11.5,54.1,2.8
newport ar,65,65.96,28.2,3.7,57.9,0.5
newport news va,45.2,51.97,39.4,8.2,51.6,3
newport ri,77.6,81.67,6,10,51.9,0.9
newport tn,91,91.25,2.5,5.4,54.3,0
newton ia,95,96.78,1.6,0.8,51.6,1.1
newton ks,77.2,82.29,2.2,17.1,51.6,0.5
newton nc,65.9,73.41,14.8,11.4,53.2,5.6
niagara falls ny,68.9,75.27,22.9,2.7,52.6,1
niagra falls ny,68.9,75.27,22.9,2.7,52.6,1
niles mi,80,80.15,8.9,6.1,52.5,1.1
noblesville in,86.7,95.66,4.4,4.8,50.8,1.9
norfolk ne,80.6,88.59,1.4,13.6,51.3,0.9
norfolk va,44.1,47.02,41.1,7.2,47.8,3.3
norman ok,75.2,80.31,4,7.1,49.7,4.4
norristown pa,33.4,49.36,35.6,24.2,50.2,2.2
north adams ma,91.6,94,1.1,3.4,52.8,0.2
north platte ne,87.6,90.98,1.1,9.7,51.1,0.4
north tonawanda ny,94.4,97.09,1.3,1.9,50.9,0.9
northampton ma,80.8,87.77,2.6,8.7,55.6,5.9
norwalk ct,55,64.28,14.4,24.4,51.2,4.5
norwalk oh,87.2,92.86,2.3,8.5,53.7,0.1
norwich ct,59.2,80.44,10.5,15.2,50.6,8.1
norwich ny,92.7,96.14,1.4,3.9,56.1,0.9
norwood ma,81.8,89.57,3.7,5.4,51.6,6.9
novato ca,68.5,76.29,1.9,19.3,51.7,5.8
oak ridge tn,79.6,85.87,8.4,5.2,52.2,3.1
oakland ca,26.9,23.52,25.4,26.1,51.5,16
ocala fl,60.2,69.61,22.8,11.3,51.3,3.3
odessa tx,38,50.78,4.8,54.1,49.7,1.3
oelwein ia,92.8,95.76,0.3,5.3,51.1,0.3
ogden ut,63.3,70.2,1.6,30.7,48.7,1.3
ogdensburg ny,84.9,82.24,6.6,4.4,44.4,0.7
oil city pa,95.3,97.34,1.6,1,51,0.4
okeechobee fl,62.6,71.32,8.1,26.1,51.4,1.7
oklahoma city ok,55.2,64.65,14.2,18.3,50.8,4.3
okmulgee ok,51,58.28,17.5,4.4,49.9,0.1
olathe ks,76.6,86.23,4.9,10.9,50.6,4.4
olean ny,90.7,92.6,3.7,0.9,50.6,2
olney il,95.1,97.13,0.7,1.6,53.2,0.5
olympia wa,79.3,83.13,1.7,7.9,51.4,6.5
omaha ne,67.6,75.35,12.7,13.7,50.8,3
oneida ny,92.7,95.66,1.2,2.7,52.8,0.9
oneonta ny,85.1,89.56,3.4,6.9,54.9,2
ontario ca,16.6,26.61,5.4,70.7,51.4,5.3
ontario or,55.8,62.14,0.3,39.9,52.1,2.2
opelika al,52.4,54.46,38.8,5.6,54,1.2
opelousas la,20.2,29.06,77.7,0.5,54.2,0.4
orange park fl,71.5,80.32,11.5,6.6,53.1,5.6
orange tx,58,58.52,30.6,5.8,51.2,2.5
orangeburg sc,17.2,29.44,77.1,2.7,53.5,1.6
orlando fl,39.1,50.79,26,28.9,51.8,3.4
oroville ca,65,73.52,4.4,12.6,52.2,8.2
oshkosh wi,89,91.79,3.3,3,48.1,2.7
oskaloosa ia,92.3,95.15,1.9,2.1,50.3,2
oswego ny,90.7,94.06,1.8,4,49,0.8
ottawa il,84.4,91.53,3.8,9,51.3,0.8
ottawa ks,88.8,90.57,1.9,5.4,52.2,0.3
ottumwa ia,81.7,94.06,2.6,12.7,51.4,1.2
owatonna mn,85.7,91.84,3.5,7.7,51.4,1.1
owensboro ky,85.2,90.07,6.9,3.3,52.8,1.1
owosso mi,92,95.11,0.3,5.2,51.1,0
oxford ms,71.7,74.52,21.1,2.7,48.7,3.7
