Company,NewsID,Year,male_sup_num,white_sup_num,total_sup_num,male_num,white_num,total_num,maleSupers,whiteSupers,male,white
Battle Creek Enquirer,222,2009,6,7,7,15,21,25,85.7%,100.0%,60.0%,84.0%
Battle Creek Enquirer,222,2011,7,8,8,17,19,20,87.5%,100.0%,85.0%,95.0%
Battle Creek Enquirer,222,2012,8,9,9,16,18,18,88.9%,100.0%,88.9%,100.0%
Battle Creek Enquirer,222,2013,5,6,6,13,15,16,83.3%,100.0%,81.3%,93.8%
Battle Creek Enquirer,222,2014,5,6,6,11,12,14,83.3%,100.0%,78.6%,85.7%
The Bay City Times,224,2001,4,6,6,23,30,31,66.7%,100.0%,74.2%,96.8%
The Bay City Times,224,2002,3,6,6,20,29,30,50.0%,100.0%,66.7%,96.7%
The Bay City Times,224,2003,5,8,8,18,27,30,62.5%,100.0%,60.0%,90.0%
The Bay City Times,224,2005,9,12,12,20,30,31,75.0%,100.0%,64.5%,96.8%
The Bay City Times,224,2006,10,12,12,25,33,35,83.3%,100.0%,71.4%,94.3%
The Bay City Times,224,2007,8,10,10,20,28,30,80.0%,100.0%,66.7%,93.3%
The Bay City Times,224,2008,5,7,7,19,25,27,71.4%,100.0%,70.4%,92.6%
The Bay City Times,224,2009,5,7,7,15,25,25,71.4%,100.0%,60.0%,100.0%
The Bay City Times,224,2011,4,4,4,8,11,11,100.0%,100.0%,72.7%,100.0%
The Bay City Times,224,2014,1,1,1,4,5,5,100.0%,100.0%,80.0%,100.0%
Detroit Free Press,225,2001,43,67,76,154,199,262,56.6%,88.2%,58.8%,76.0%
Detroit Free Press,225,2002,43,69,81,145,191,248,53.1%,85.2%,58.5%,77.0%
Detroit Free Press,225,2003,36,50,59,148,184,257,61.0%,84.7%,57.6%,71.6%
Detroit Free Press,225,2004,39,52,64,151,194,272,60.9%,81.3%,55.5%,71.3%
Detroit Free Press,225,2005,38,50,61,141,182,257,62.3%,82.0%,54.9%,70.8%
Detroit Free Press,225,2006,38,44,60,141,175,258,63.3%,73.3%,54.7%,67.8%
Detroit Free Press,225,2007,37,43,57,146,180,255,64.9%,75.4%,57.3%,70.6%
Detroit Free Press,225,2008,34,35,49,135,166,230,69.4%,71.4%,58.7%,72.2%
Detroit Free Press,225,2009,28,31,44,128,155,217,63.6%,70.5%,59.0%,71.4%
Detroit Free Press,225,2010,26,28,41,114,137,191,63.4%,68.3%,59.7%,71.7%
Detroit Free Press,225,2011,25,26,38,110,136,187,65.8%,68.4%,58.8%,72.7%
Detroit Free Press,225,2012,28,30,42,107,134,188,66.7%,71.4%,56.9%,71.3%
Detroit Free Press,225,2013,22,25,38,94,116,164,57.9%,65.8%,57.3%,70.7%
Detroit Free Press,225,2014,21,27,38,93,120,161,55.3%,71.1%,57.8%,74.5%
The Detroit News,226,2001,47,61,71,144,179,225,66.2%,85.9%,64.0%,79.6%
The Detroit News,226,2002,47,56,70,143,176,226,67.1%,80.0%,63.3%,77.9%
The Detroit News,226,2003,40,50,61,148,184,238,65.6%,82.0%,62.2%,77.3%
The Detroit News,226,2004,43,53,70,139,179,241,61.4%,75.7%,57.7%,74.3%
The Detroit News,226,2005,45,57,73,144,180,244,61.6%,78.1%,59.0%,73.8%
The Detroit News,226,2006,40,57,72,139,175,240,55.6%,79.2%,57.9%,72.9%
The Detroit News,226,2007,41,56,68,135,162,223,60.3%,82.4%,60.5%,72.6%
The Detroit News,226,2008,46,61,74,121,148,194,62.2%,82.4%,62.4%,76.3%
The Detroit News,226,2009,41,49,63,116,132,179,65.1%,77.8%,64.8%,73.7%
The Detroit News,226,2010,32,41,53,103,114,158,60.4%,77.4%,65.2%,72.2%
The Detroit News,226,2011,30,39,47,109,120,163,63.8%,83.0%,66.9%,73.6%
The Detroit News,226,2012,32,38,47,102,111,151,68.1%,80.9%,67.5%,73.5%
The Detroit News,226,2014,29,33,41,90,97,133,70.7%,80.5%,67.7%,72.9%
The Flint Journal,227,2001,13,16,17,53,75,84,76.5%,94.1%,63.1%,89.3%
The Flint Journal,227,2002,12,16,16,54,73,82,75.0%,100.0%,65.9%,89.0%
The Flint Journal,227,2003,13,17,17,52,73,83,76.5%,100.0%,62.7%,88.0%
The Flint Journal,227,2004,13,18,18,50,71,80,72.2%,100.0%,62.5%,88.8%
The Flint Journal,227,2005,12,16,16,52,71,81,75.0%,100.0%,64.2%,87.7%
The Flint Journal,227,2006,12,17,17,51,69,80,70.6%,100.0%,63.8%,86.3%
The Flint Journal,227,2007,13,20,20,53,81,90,65.0%,100.0%,58.9%,90.0%
The Flint Journal,227,2008,14,19,19,44,61,70,73.7%,100.0%,62.9%,87.1%
The Flint Journal,227,2009,4,6,6,21,33,36,66.7%,100.0%,58.3%,91.7%
The Grand Rapids Press,228,2001,15,21,23,71,97,115,65.2%,91.3%,61.7%,84.3%
The Grand Rapids Press,228,2002,11,15,16,61,87,96,68.8%,93.8%,63.5%,90.6%
The Grand Rapids Press,228,2003,10,13,14,62,89,101,71.4%,92.9%,61.4%,88.1%
The Grand Rapids Press,228,2004,11,18,19,62,85,96,57.9%,94.7%,64.6%,88.5%
The Grand Rapids Press,228,2005,15,20,23,68,94,106,65.2%,87.0%,64.2%,88.7%
The Grand Rapids Press,228,2006,16,21,23,68,88,103,69.6%,91.3%,66.0%,85.4%
The Grand Rapids Press,228,2007,17,22,25,68,92,107,68.0%,88.0%,63.6%,86.0%
The Grand Rapids Press,228,2008,12,16,18,56,73,91,66.7%,88.9%,61.5%,80.2%
The Grand Rapids Press,228,2010,8,13,15,44,63,76,53.3%,86.7%,57.9%,82.9%
The Grand Rapids Press,228,2011,8,16,17,37,54,61,47.1%,94.1%,60.7%,88.5%
The Grand Rapids Press,228,2014,2,5,5,17,23,26,40.0%,100.0%,65.4%,88.5%
The Holland Sentinel,229,2001,5,7,7,17,22,22,71.4%,100.0%,77.3%,100.0%
The Holland Sentinel,229,2002,4,5,5,16,21,21,80.0%,100.0%,76.2%,100.0%
The Holland Sentinel,229,2003,4,4,4,19,22,24,100.0%,100.0%,79.2%,91.7%
The Holland Sentinel,229,2004,5,5,5,19,21,23,100.0%,100.0%,82.6%,91.3%
The Holland Sentinel,229,2005,5,5,5,20,22,24,100.0%,100.0%,83.3%,91.7%
The Holland Sentinel,229,2006,5,5,5,16,20,22,100.0%,100.0%,72.7%,90.9%
The Holland Sentinel,229,2007,4,5,5,14,18,19,80.0%,100.0%,73.7%,94.7%
The Holland Sentinel,229,2009,5,7,8,17,22,23,62.5%,87.5%,73.9%,95.7%
The Holland Sentinel,229,2010,7,10,10,14,19,19,70.0%,100.0%,73.7%,100.0%
The Holland Sentinel,229,2012,3,6,6,8,18,18,50.0%,100.0%,44.4%,100.0%
The Holland Sentinel,229,2013,2,3,3,6,13,13,66.7%,100.0%,46.2%,100.0%
The Holland Sentinel,229,2014,2,4,4,5,12,12,50.0%,100.0%,41.7%,100.0%
The Jackson Citizen Patriot,230,2001,6,8,8,27,34,37,75.0%,100.0%,73.0%,91.9%
The Jackson Citizen Patriot,230,2002,6,8,8,27,34,37,75.0%,100.0%,73.0%,91.9%
The Jackson Citizen Patriot,230,2003,7,9,9,28,34,36,77.8%,100.0%,77.8%,94.4%
The Jackson Citizen Patriot,230,2004,6,8,8,27,34,37,75.0%,100.0%,73.0%,91.9%
The Jackson Citizen Patriot,230,2005,6,8,8,26,34,36,75.0%,100.0%,72.2%,94.4%
The Jackson Citizen Patriot,230,2006,6,8,8,24,32,33,75.0%,100.0%,72.7%,97.0%
The Jackson Citizen Patriot,230,2007,6,8,8,25,34,35,75.0%,100.0%,71.4%,97.1%
The Jackson Citizen Patriot,230,2008,5,7,7,22,31,33,71.4%,100.0%,66.7%,93.9%
The Jackson Citizen Patriot,230,2009,5,7,7,21,30,32,71.4%,100.0%,65.6%,93.8%
The Jackson Citizen Patriot,230,2010,3,4,4,12,19,20,75.0%,100.0%,60.0%,95.0%
The Jackson Citizen Patriot,230,2011,3,4,4,16,22,23,75.0%,100.0%,69.6%,95.7%
The Jackson Citizen Patriot,230,2012,1,2,2,7,9,10,50.0%,100.0%,70.0%,90.0%
The Jackson Citizen Patriot,230,2013,1,3,3,6,10,12,33.3%,100.0%,50.0%,83.3%
The Jackson Citizen Patriot,230,2014,2,4,4,7,11,13,50.0%,100.0%,53.8%,84.6%
Kalamazoo Gazette,231,2001,10,14,16,36,47,55,62.5%,87.5%,65.5%,85.5%
Kalamazoo Gazette,231,2002,11,15,17,34,45,53,64.7%,88.2%,64.2%,84.9%
Kalamazoo Gazette,231,2003,10,14,16,33,45,53,62.5%,87.5%,62.3%,84.9%
Kalamazoo Gazette,231,2004,6,10,12,29,42,50,50.0%,83.3%,58.0%,84.0%
Kalamazoo Gazette,231,2005,8,13,14,32,46,53,57.1%,92.9%,60.4%,86.8%
Kalamazoo Gazette,231,2006,9,14,16,33,48,56,56.3%,87.5%,58.9%,85.7%
Kalamazoo Gazette,231,2007,10,15,17,27,38,46,58.8%,88.2%,58.7%,82.6%
Kalamazoo Gazette,231,2008,7,12,13,27,42,47,53.8%,92.3%,57.4%,89.4%
Kalamazoo Gazette,231,2009,8,13,15,28,45,50,53.3%,86.7%,56.0%,90.0%
Kalamazoo Gazette,231,2010,8,11,13,20,33,38,61.5%,84.6%,52.6%,86.8%
Kalamazoo Gazette,231,2011,3,4,4,15,18,21,75.0%,100.0%,71.4%,85.7%
The Monroe Evening News,232,2001,4,7,7,17,25,25,57.1%,100.0%,68.0%,100.0%
The Muskegon Chronicle,233,2001,6,8,8,27,37,41,75.0%,100.0%,65.9%,90.2%
The Muskegon Chronicle,233,2002,6,8,8,25,37,41,75.0%,100.0%,61.0%,90.2%
The Muskegon Chronicle,233,2003,6,8,8,25,37,41,75.0%,100.0%,61.0%,90.2%
The Muskegon Chronicle,233,2004,6,8,8,24,37,40,75.0%,100.0%,60.0%,92.5%
The Muskegon Chronicle,233,2005,5,8,8,21,35,38,62.5%,100.0%,55.3%,92.1%
The Muskegon Chronicle,233,2006,5,8,8,22,34,38,62.5%,100.0%,57.9%,89.5%
The Muskegon Chronicle,233,2007,7,10,10,26,39,43,70.0%,100.0%,60.5%,90.7%
The Muskegon Chronicle,233,2008,8,11,11,28,40,44,72.7%,100.0%,63.6%,90.9%
The Muskegon Chronicle,233,2009,7,10,10,27,37,41,70.0%,100.0%,65.9%,90.2%
The Muskegon Chronicle,233,2010,3,4,4,9,12,15,75.0%,100.0%,60.0%,80.0%
The Muskegon Chronicle,233,2011,2,3,3,13,18,19,66.7%,100.0%,68.4%,94.7%
The Oakland Press,234,2001,14,19,20,54,79,86,70.0%,95.0%,62.8%,91.9%
The Oakland Press,234,2005,9,13,13,44,57,62,69.2%,100.0%,71.0%,91.9%
The Oakland Press,234,2006,10,14,14,40,53,58,71.4%,100.0%,69.0%,91.4%
The Oakland Press,234,2012,5,7,7,24,36,38,71.4%,100.0%,63.2%,94.7%
The Oakland Press,234,2013,3,5,5,27,36,38,60.0%,100.0%,71.1%,94.7%
Traverse City Record-Eagle,235,2001,5,7,7,22,36,36,71.4%,100.0%,61.1%,100.0%
Traverse City Record-Eagle,235,2002,4,6,6,19,29,29,66.7%,100.0%,65.5%,100.0%
Traverse City Record-Eagle,235,2004,4,6,6,16,25,25,66.7%,100.0%,64.0%,100.0%
Traverse City Record-Eagle,235,2005,5,7,7,20,27,28,71.4%,100.0%,71.4%,96.4%
Traverse City Record-Eagle,235,2006,5,6,7,21,27,29,71.4%,85.7%,72.4%,93.1%
Traverse City Record-Eagle,235,2007,6,7,8,21,29,31,75.0%,87.5%,67.7%,93.5%
Traverse City Record-Eagle,235,2009,5,7,8,15,27,28,62.5%,87.5%,53.6%,96.4%
Traverse City Record-Eagle,235,2011,3,4,5,14,23,25,60.0%,80.0%,56.0%,92.0%
Traverse City Record-Eagle,235,2012,3,6,6,14,21,22,50.0%,100.0%,63.6%,95.5%
Duluth News-Tribune,236,2001,6,11,13,38,59,63,46.2%,84.6%,60.3%,93.7%
Duluth News-Tribune,236,2002,3,4,5,31,45,50,60.0%,80.0%,62.0%,90.0%
Duluth News Tribune,236,2003,7,10,12,29,45,50,58.3%,83.3%,58.0%,90.0%
Duluth News Tribune,236,2004,6,9,11,29,41,48,54.5%,81.8%,60.4%,85.4%
Duluth News Tribune,236,2005,5,9,10,29,44,48,50.0%,90.0%,60.4%,91.7%
Duluth News Tribune,236,2006,6,9,11,27,44,47,54.5%,81.8%,57.4%,93.6%
Duluth News Tribune,236,2007,6,10,11,28,42,45,54.5%,90.9%,62.2%,93.3%
Duluth News Tribune,236,2008,7,11,12,32,50,51,58.3%,91.7%,62.7%,98.0%
Duluth News Tribune,236,2009,6,7,8,27,38,39,75.0%,87.5%,69.2%,97.4%
Duluth News Tribune,236,2010,7,8,9,24,32,33,77.8%,88.9%,72.7%,97.0%
Duluth News Tribune,236,2012,5,5,6,22,28,31,83.3%,83.3%,71.0%,90.3%
Duluth News Tribune,236,2013,7,8,9,23,29,32,77.8%,88.9%,71.9%,90.6%
Duluth News Tribune,236,2014,8,7,9,24,32,37,88.9%,77.8%,64.9%,86.5%
The Free Press,238,2001,2,4,4,17,22,22,50.0%,100.0%,77.3%,100.0%
The Free Press,238,2002,2,4,4,17,22,22,50.0%,100.0%,77.3%,100.0%
The Free Press,238,2003,2,4,4,17,22,22,50.0%,100.0%,77.3%,100.0%
The Free Press,238,2005,4,5,6,18,23,24,66.7%,83.3%,75.0%,95.8%
The Free Press,238,2008,4,6,6,17,21,21,66.7%,100.0%,81.0%,100.0%
The Free Press,238,2009,4,5,6,16,19,20,66.7%,83.3%,80.0%,95.0%
The Free Press,238,2012,5,5,6,14,17,18,83.3%,83.3%,77.8%,94.4%
The Free Press,238,2013,4,5,5,18,21,21,80.0%,100.0%,85.7%,100.0%
The Free Press,238,2014,5,5,6,16,17,19,83.3%,83.3%,84.2%,89.5%
Star Tribune,240,2001,33,41,45,161,205,240,73.3%,91.1%,67.1%,85.4%
Star Tribune,240,2002,33,41,46,171,216,250,71.7%,89.1%,68.4%,86.4%
Star Tribune,240,2003,38,50,54,187,232,268,70.4%,92.6%,69.8%,86.6%
Star Tribune,240,2004,40,55,60,184,230,269,66.7%,91.7%,68.4%,85.5%
Star Tribune,240,2005,42,56,62,193,235,275,67.7%,90.3%,70.2%,85.5%
Star Tribune,240,2006,40,57,62,196,238,280,64.5%,91.9%,70.0%,85.0%
Star Tribune,240,2007,53,74,76,214,273,310,69.7%,97.4%,69.0%,88.1%
Star Tribune,240,2008,40,66,68,179,225,262,58.8%,97.1%,68.3%,85.9%
Star Tribune,240,2009,41,66,68,174,220,257,60.3%,97.1%,67.7%,85.6%
Star Tribune,240,2010,37,56,59,161,206,239,62.7%,94.9%,67.4%,86.2%
Star Tribune,240,2011,43,59,63,158,196,229,68.3%,93.7%,69.0%,85.6%
Star Tribune,240,2012,40,56,61,164,209,244,65.6%,91.8%,67.2%,85.7%
Minneapolis Star Tribune,240,2013,42,57,63,167,213,247,66.7%,90.5%,67.6%,86.2%
Star Tribune,240,2014,48,64,70,166,207,246,68.6%,91.4%,67.5%,84.1%
Post-Bulletin,242,2001,7,9,9,34,47,47,77.8%,100.0%,72.3%,100.0%
Post-Bulletin,242,2002,4,6,6,31,43,45,66.7%,100.0%,68.9%,95.6%
Post-Bulletin,242,2003,6,9,9,36,56,58,66.7%,100.0%,62.1%,96.6%
Post-Bulletin,242,2004,5,9,9,28,42,43,55.6%,100.0%,65.1%,97.7%
Post-Bulletin,242,2005,6,10,10,23,38,39,60.0%,100.0%,59.0%,97.4%
Post-Bulletin,242,2006,6,10,10,27,43,44,60.0%,100.0%,61.4%,97.7%
Post-Bulletin,242,2012,4,7,7,23,35,35,57.1%,100.0%,65.7%,100.0%
Saint Paul Pioneer Press,243,2001,21,32,34,126,166,195,61.8%,94.1%,64.6%,85.1%
St. Paul Pioneer Press,243,2002,13,23,27,117,150,183,48.1%,85.2%,63.9%,82.0%
St. Paul Pioneer Press,243,2003,19,30,33,149,195,219,57.6%,90.9%,68.0%,89.0%
St. Paul Pioneer Press,243,2004,17,31,35,136,179,203,48.6%,88.6%,67.0%,88.2%
St. Paul Pioneer Press,243,2005,21,29,33,122,165,201,63.6%,87.9%,60.7%,82.1%
St. Paul Pioneer Press,243,2006,22,33,38,121,163,192,57.9%,86.8%,63.0%,84.9%
St. Paul Pioneer Press,243,2007,16,26,29,95,141,164,55.2%,89.7%,57.9%,86.0%
St. Paul Pioneer Press,243,2008,15,26,29,92,129,152,51.7%,89.7%,60.5%,84.9%
St. Paul Pioneer Press,243,2009,15,23,26,85,125,142,57.7%,88.5%,59.9%,88.0%
St. Paul Pioneer Press,243,2010,14,15,18,76,94,111,77.8%,83.3%,68.5%,84.7%
St. Paul Pioneer Press,243,2011,14,21,24,65,92,105,58.3%,87.5%,61.9%,87.6%
Winona Daily News,245,2001,4,5,5,12,19,19,80.0%,100.0%,63.2%,100.0%
Winona Daily News,245,2002,3,3,3,14,21,21,100.0%,100.0%,66.7%,100.0%
Winona Daily News,245,2003,3,3,3,8,12,12,100.0%,100.0%,66.7%,100.0%
Winona Daily News,245,2004,3,3,3,5,6,6,100.0%,100.0%,83.3%,100.0%
Winona Daily News,245,2009,4,5,5,10,14,14,80.0%,100.0%,71.4%,100.0%
The Sun Herald,247,2001,7,11,12,38,55,63,58.3%,91.7%,60.3%,87.3%
The Sun Herald,247,2002,8,11,13,30,44,49,61.5%,84.6%,61.2%,89.8%
The Sun Herald,247,2003,6,10,11,25,44,47,54.5%,90.9%,53.2%,93.6%
The Sun Herald,247,2004,7,11,11,33,48,51,63.6%,100.0%,64.7%,94.1%
The Sun Herald,247,2005,5,8,8,27,40,44,62.5%,100.0%,61.4%,90.9%
The Sun Herald,247,2006,6,10,10,23,42,45,60.0%,100.0%,51.1%,93.3%
The Sun Herald,247,2008,8,12,12,33,46,50,66.7%,100.0%,66.0%,92.0%
The Sun Herald,247,2009,6,7,8,22,36,40,75.0%,87.5%,55.0%,90.0%
The Sun Herald,247,2010,5,9,9,21,36,39,55.6%,100.0%,53.8%,92.3%
The Sun Herald,247,2012,3,5,5,16,26,30,60.0%,100.0%,53.3%,86.7%
The Sun Herald,247,2013,4,8,8,18,32,34,50.0%,100.0%,52.9%,94.1%
The Sun Herald,247,2014,3,6,6,20,31,34,50.0%,100.0%,58.8%,91.2%
The Greenwood Commonwealth,248,2001,3,5,6,5,7,9,50.0%,83.3%,55.6%,77.8%
The Greenwood Commonwealth,248,2002,2,5,5,5,8,8,40.0%,100.0%,62.5%,100.0%
The Greenwood Commonwealth,248,2003,3,5,5,6,9,9,60.0%,100.0%,66.7%,100.0%
The Greenwood Commonwealth,248,2004,2,5,5,5,8,8,40.0%,100.0%,62.5%,100.0%
The Greenwood Commonwealth,248,2005,2,4,4,4,8,8,50.0%,100.0%,50.0%,100.0%
The Greenwood Commonwealth,248,2006,3,6,6,5,8,8,50.0%,100.0%,62.5%,100.0%
The Greenwood Commonwealth,248,2007,4,6,6,5,8,8,66.7%,100.0%,62.5%,100.0%
The Greenwood Commonwealth,248,2008,4,6,6,6,8,8,66.7%,100.0%,75.0%,100.0%
The Greenwood Commonwealth,248,2009,4,6,6,6,8,8,66.7%,100.0%,75.0%,100.0%
The Greenwood Commonwealth,248,2010,4,5,5,6,7,7,80.0%,100.0%,85.7%,100.0%
The Greenwood Commonwealth,248,2011,4,5,5,6,7,7,80.0%,100.0%,85.7%,100.0%
The Greenwood Commonwealth,248,2012,4,5,5,6,7,7,80.0%,100.0%,85.7%,100.0%
The Greenwood Commonwealth,248,2013,4,5,5,5,7,7,80.0%,100.0%,71.4%,100.0%
The Greenwood Commonwealth,248,2014,4,5,5,6,7,7,80.0%,100.0%,85.7%,100.0%
The Clarion-Ledger,249,2001,12,16,20,55,60,83,60.0%,80.0%,66.3%,72.3%
The Clarion-Ledger,249,2002,15,17,23,58,59,85,65.2%,73.9%,68.2%,69.4%
The Clarion-Ledger,249,2003,15,16,23,58,63,89,65.2%,69.6%,65.2%,70.8%
The Clarion-Ledger,249,2004,15,19,23,53,63,86,65.2%,82.6%,61.6%,73.3%
The Clarion-Ledger,249,2005,13,11,20,49,51,74,65.0%,55.0%,66.2%,68.9%
The Clarion-Ledger,249,2006,12,10,20,58,54,80,60.0%,50.0%,72.5%,67.5%
The Clarion-Ledger,249,2007,9,9,15,44,50,70,60.0%,60.0%,62.9%,71.4%
The Clarion-Ledger,249,2008,11,11,16,48,52,74,68.8%,68.8%,64.9%,70.3%
The Clarion-Ledger,249,2009,15,16,23,49,57,79,65.2%,69.6%,62.0%,72.2%
The Clarion-Ledger,249,2010,12,10,17,47,49,73,70.6%,58.8%,64.4%,67.1%
The Clarion-Ledger,249,2011,7,5,10,39,47,70,70.0%,50.0%,55.7%,67.1%
The Clarion-Ledger,249,2012,6,5,9,35,37,56,66.7%,55.6%,62.5%,66.1%
The Clarion-Ledger,249,2013,4,6,8,24,33,46,50.0%,75.0%,52.2%,71.7%
The Clarion-Ledger,249,2014,4,6,7,25,30,41,57.1%,85.7%,61.0%,73.2%
Enterprise-Journal,251,2001,2,1,3,5,5,9,66.7%,33.3%,55.6%,55.6%
Enterprise-Journal,251,2002,1,2,2,6,8,8,50.0%,100.0%,75.0%,100.0%
Enterprise-Journal,251,2003,2,3,3,6,8,8,66.7%,100.0%,75.0%,100.0%
Enterprise-Journal,251,2004,1,2,2,6,9,9,50.0%,100.0%,66.7%,100.0%
Enterprise-Journal,251,2005,0,1,1,5,7,8,0.0%,100.0%,62.5%,87.5%
Enterprise-Journal,251,2006,1,2,2,4,7,8,50.0%,100.0%,50.0%,87.5%
Enterprise-Journal,251,2010,1,2,2,6,7,7,50.0%,100.0%,85.7%,100.0%
Enterprise-Journal,251,2011,1,2,2,6,7,8,50.0%,100.0%,75.0%,87.5%
Enterprise-Journal,251,2012,1,2,2,6,7,8,50.0%,100.0%,75.0%,87.5%
Enterprise-Journal,251,2013,1,1,1,5,8,8,100.0%,100.0%,62.5%,100.0%
The Natchez Democrat,252,2001,2,4,4,3,10,10,50.0%,100.0%,30.0%,100.0%
The Natchez Democrat,252,2002,2,2,2,4,8,8,100.0%,100.0%,50.0%,100.0%
The Natchez Democrat,252,2004,1,3,3,5,12,12,33.3%,100.0%,41.7%,100.0%
The Natchez Democrat,252,2007,2,3,3,5,8,9,66.7%,100.0%,55.6%,88.9%
The Natchez Democrat,252,2008,3,4,4,8,8,9,75.0%,100.0%,88.9%,88.9%
The Natchez Democrat,252,2009,2,4,4,6,8,9,50.0%,100.0%,66.7%,88.9%
The Natchez Democrat,252,2010,2,3,4,4,8,9,50.0%,75.0%,44.4%,88.9%
The Natchez Democrat,252,2011,1,3,3,4,6,7,33.3%,100.0%,57.1%,85.7%
The Natchez Democrat,252,2012,3,3,4,6,7,9,75.0%,75.0%,66.7%,77.8%
The Natchez Democrat,252,2013,1,2,2,6,8,9,50.0%,100.0%,66.7%,88.9%
The Natchez Democrat,252,2014,3,3,4,5,7,9,75.0%,75.0%,55.6%,77.8%
Columbia Daily Tribune,253,2001,6,7,7,22,32,34,85.7%,100.0%,64.7%,94.1%
Columbia Daily Tribune,253,2002,7,8,8,20,31,34,87.5%,100.0%,58.8%,91.2%
Columbia Daily Tribune,253,2003,7,8,8,21,32,34,87.5%,100.0%,61.8%,94.1%
Columbia Daily Tribune,253,2005,5,7,7,17,27,30,71.4%,100.0%,56.7%,90.0%
Columbia Daily Tribune,253,2006,5,7,7,18,29,31,71.4%,100.0%,58.1%,93.5%
Columbia Daily Tribune,253,2007,5,8,8,22,31,34,62.5%,100.0%,64.7%,91.2%
Columbia Daily Tribune,253,2008,4,7,7,17,30,31,57.1%,100.0%,54.8%,96.8%
Columbia Daily Tribune,253,2009,7,8,8,19,30,33,87.5%,100.0%,57.6%,90.9%
Columbia Daily Tribune,253,2010,4,7,8,15,21,23,50.0%,87.5%,65.2%,91.3%
Columbia Daily Tribune,253,2011,3,4,5,14,23,25,60.0%,80.0%,56.0%,92.0%
Columbia Daily Tribune,253,2012,4,5,5,27,35,36,80.0%,100.0%,75.0%,97.2%
Columbia Daily Tribune,253,2013,5,6,6,17,26,26,83.3%,100.0%,65.4%,100.0%
Columbia Daily Tribune,253,2014,4,6,7,25,36,37,57.1%,85.7%,67.6%,97.3%
The Joplin Globe,254,2008,8,9,9,24,32,32,88.9%,100.0%,75.0%,100.0%
The Joplin Globe,254,2009,7,7,8,24,26,28,87.5%,87.5%,85.7%,92.9%
The Joplin Globe,254,2010,7,8,8,21,27,27,87.5%,100.0%,77.8%,100.0%
The Joplin Globe,254,2011,7,7,8,21,23,25,87.5%,87.5%,84.0%,92.0%
The Joplin Globe,254,2012,5,6,6,23,27,27,83.3%,100.0%,85.2%,100.0%
The Joplin Globe,254,2013,6,7,7,24,31,31,85.7%,100.0%,77.4%,100.0%
The Joplin Globe,254,2014,5,8,8,28,36,36,62.5%,100.0%,77.8%,100.0%
The Kansas City Star,255,2001,53,67,79,206,249,303,67.1%,84.8%,68.0%,82.2%
The Kansas City Star,255,2002,56,69,80,195,239,284,70.0%,86.3%,68.7%,84.2%
The Kansas City Star,255,2003,53,66,77,202,241,292,68.8%,85.7%,69.2%,82.5%
The Kansas City Star,255,2004,44,59,68,200,234,285,64.7%,86.8%,70.2%,82.1%
The Kansas City Star,255,2005,48,64,74,199,234,283,64.9%,86.5%,70.3%,82.7%
The Kansas City Star,255,2006,51,71,81,192,236,282,63.0%,87.7%,68.1%,83.7%
The Kansas City Star,255,2007,53,70,79,200,248,292,67.1%,88.6%,68.5%,84.9%
The Kansas City Star,255,2008,55,73,83,194,237,285,66.3%,88.0%,68.1%,83.2%
Mexico Ledger,257,2001,1,3,3,2,5,5,33.3%,100.0%,40.0%,100.0%
Mexico Ledger,257,2002,1,3,3,2,5,5,33.3%,100.0%,40.0%,100.0%
Mexico Ledger,257,2003,0,1,1,3,5,5,0.0%,100.0%,60.0%,100.0%
Mexico Ledger,257,2004,0,1,1,3,5,5,0.0%,100.0%,60.0%,100.0%
Mexico Ledger,257,2005,1,3,3,2,6,6,33.3%,100.0%,33.3%,100.0%
Mexico Ledger,257,2006,1,3,3,3,5,5,33.3%,100.0%,60.0%,100.0%
Mexico Ledger,257,2007,1,3,3,3,8,8,33.3%,100.0%,37.5%,100.0%
Mexico Ledger,257,2008,1,3,3,5,10,10,33.3%,100.0%,50.0%,100.0%
Mexico Ledger,257,2009,0,1,1,1,2,3,0.0%,100.0%,33.3%,66.7%
Mexico Ledger,257,2010,1,3,3,1,6,7,33.3%,100.0%,14.3%,85.7%
Mexico Ledger,257,2012,NULL,1,1,2,5,6,#VALUE!,100.0%,33.3%,83.3%
Mexico Ledger,257,2013,NULL,2,2,NULL,2,3,#VALUE!,100.0%,#VALUE!,66.7%
Mexico Ledger,257,2014,NULL,1,1,2,3,3,#VALUE!,100.0%,66.7%,100.0%
Springfield News-Leader,258,2001,5,5,6,14,21,22,83.3%,83.3%,63.6%,95.5%
Springfield News-Leader,258,2002,10,14,16,25,39,45,62.5%,87.5%,55.6%,86.7%
Springfield News-Leader,258,2003,12,16,18,42,73,80,66.7%,88.9%,52.5%,91.3%
Springfield News-Leader,258,2004,11,15,17,42,67,75,64.7%,88.2%,56.0%,89.3%
Springfield News-Leader,258,2005,10,16,19,34,51,60,52.6%,84.2%,56.7%,85.0%
Springfield News-Leader,258,2006,11,17,19,33,50,59,57.9%,89.5%,55.9%,84.7%
Springfield News-Leader,258,2007,8,15,16,32,55,60,50.0%,93.8%,53.3%,91.7%
Springfield News-Leader,258,2008,10,18,21,37,54,62,47.6%,85.7%,59.7%,87.1%
Springfield News-Leader,258,2009,4,10,12,31,48,55,33.3%,83.3%,56.4%,87.3%
